Animal..,ARN,Species,Primary.Breed,Colors,Gender,Altered,Pre.Altered,Chip.Provider,Danger,Danger.Reason,Date.of.Birth,Intake.Age,Intake.By,Intake.Date,Intake.Type,Intake.Subtype,Intake.Reason,Intake.Site,Intake.Location,Intake.Sublocation,Intake.Jurisdiction,Intake.Condition,Intake.Agency,Agency.Member,Agency.Member.Phone,Agency.Address,Outcome.Age,Outcome.Age.in.Months,Outcome.Date,Outcome.By,Outcome.Type,Outcome.Subtype,Outcome.Site,Outcome.Location,Outcome.Sublocation,Outcome.Jurisdiction,Transfer.Out.Reason,Outcome.Agency,Released.By,Release.Date,LOS
A42433789,,Cat,Domestic Shorthair,Orange/,Male,Yes,No,24PetWatch,No,NA,6/27/2019,1m 12d,Michelle Robinson,8/8/2019 10:17:53 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19104—University City,Healthy,,,,,6m 1d,6,12/28/2019 10:42:00 AM,Meredyth Forbes,Adoption,Kawaii Kitty Cafe,PAWS Offsite Adoptions,Kawaii Kitty Cafe,NA,,NA,NA,Meredyth Forbes,12/28/2019 10:42:00 AM,141
A42433791,,Cat,Domestic Shorthair,Black/White,Male,Yes,No,24PetWatch,No,NA,6/27/2019,1m 12d,Michelle Robinson,8/8/2019 10:21:44 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19104—University City,Healthy,,,,,6m 1d,6,12/28/2019 10:42:00 AM,Meredyth Forbes,Adoption,Kawaii Kitty Cafe,PAWS Offsite Adoptions,Kawaii Kitty Cafe,NA,,NA,NA,Meredyth Forbes,12/28/2019 10:42:00 AM,141
A42438954,,Cat,Domestic Shorthair,Grey/,Female,Yes,No,24PetWatch,No,NA,4/22/2019,3m 18d,Maria Decker,8/9/2019 2:48:03 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,4m 14d,4,9/5/2019 4:34:00 PM,Maria Decker,Adoption,Foster Home,Grant Avenue,Foster Care - General,NA,,NA,NA,Maria Decker,9/5/2019 4:34:00 PM,27
A42439171,,Cat,Domestic Shorthair,Grey/,Female,Yes,No,24PetWatch,No,NA,8/8/2012,7y 1d,Maria Decker,8/9/2019 3:00:58 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,7y 2m 18d,86,10/26/2019 4:34:00 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,10/26/2019 4:34:00 PM,78
A42439178,,Cat,Domestic Shorthair,Orange/,Female,Yes,No,24PetWatch,No,NA,7/18/2019,22d,Maria Decker,8/9/2019 3:00:58 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 0d,3,10/18/2019 1:23:00 PM,Maria Decker,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Maria Decker,10/18/2019 1:23:00 PM,69
A42439189,,Cat,Domestic Shorthair,Orange/Orange,Male,Yes,No,24PetWatch,No,NA,7/18/2019,22d,Maria Decker,8/9/2019 3:00:58 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 0d,3,10/18/2019 1:23:00 PM,Maria Decker,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Maria Decker,10/18/2019 1:23:00 PM,69
A42439225,,Cat,Domestic Shorthair,Black/White,Female,Yes,No,24PetWatch,No,NA,7/31/2018,1y 9d,Steve Ciepiela,8/9/2019 3:04:17 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,1y 1m 16d,13,9/15/2019 4:53:00 PM,Bidisha Mukherjee,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Bidisha Mukherjee,9/15/2019 4:53:00 PM,37
A42439382,,Cat,Domestic Shorthair,Grey/White,Male,Yes,No,24PetWatch,No,NA,8/9/2018,1y 0d,Steve Ciepiela,8/9/2019 3:12:35 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,1y 1m 28d,13,10/7/2019 12:26:00 PM,Emma Griffin,Adoption,Petsmart B and W,PAWS Offsite Adoptions,Petsmart Broad & Washington,NA,,NA,NA,Emma Griffin,10/7/2019 12:26:00 PM,58
A42439493,,Cat,Domestic Shorthair,Black/White,Male,Yes,No,24PetWatch,No,NA,6/27/2019,1m 13d,Maria Decker,8/9/2019 3:18:07 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2m 14d,2,9/10/2019 3:43:00 PM,Maria Decker,Adoption,Foster Home,Grant Avenue,Foster Care - General,NA,,NA,NA,Maria Decker,9/10/2019 3:43:00 PM,32
A42439497,,Cat,Domestic Shorthair,Black/Orange,Female,Yes,No,24PetWatch,No,NA,6/27/2019,1m 13d,Maria Decker,8/9/2019 3:18:07 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2m 14d,2,9/10/2019 3:43:00 PM,Maria Decker,Adoption,Foster Home,Grant Avenue,Foster Care - General,NA,,NA,NA,Maria Decker,9/10/2019 3:43:00 PM,32
A42439501,,Cat,Domestic Shorthair,Black/Orange,Female,Yes,No,24PetWatch,No,NA,8/8/2015,4y 1d,Maria Decker,8/9/2019 3:18:07 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,4y 2m 24d,50,11/1/2019 4:58:00 PM,Maria Decker,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Maria Decker,11/1/2019 4:58:00 PM,84
A42439685,,Cat,Domestic Medium Hair,Black/,Female,Yes,No,24PetWatch,No,NA,10/5/2016,2y 10m 4d,Steve Ciepiela,8/9/2019 3:27:31 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3y 0d,36,10/5/2019 11:50:00 AM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,10/5/2019 11:50:00 AM,56
A42440954,,Cat,Domestic Shorthair,Orange/,Male,Yes,No,24PetWatch,No,NA,7/23/2019,17d,Emma Griffin,8/9/2019 4:38:51 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Maternity,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 12d,3,11/4/2019 2:27:00 PM,Emma Griffin,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Emma Griffin,11/4/2019 2:27:00 PM,86
A42440956,,Cat,Domestic Shorthair,Orange/,Male,Yes,No,24PetWatch,No,NA,7/23/2019,17d,Emma Griffin,8/9/2019 4:38:50 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Maternity,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 12d,3,11/4/2019 2:34:00 PM,Emma Griffin,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Emma Griffin,11/4/2019 2:34:00 PM,86
A42440964,,Cat,Domestic Shorthair,Orange/,Male,Yes,No,24PetWatch,No,NA,7/23/2019,17d,Emma Griffin,8/9/2019 4:38:50 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Maternity,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 12d,3,11/4/2019 2:33:00 PM,Emma Griffin,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Emma Griffin,11/4/2019 2:33:00 PM,86
A42440966,,Cat,Domestic Shorthair,Brown/Black,Male,Yes,No,24PetWatch,No,NA,7/23/2019,17d,Emma Griffin,8/9/2019 4:38:50 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Maternity,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 12d,3,11/4/2019 2:30:00 PM,Emma Griffin,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Emma Griffin,11/4/2019 2:30:00 PM,86
A42443776,,Dog,"Terrier, Pit Bull",Brown/,Female,Yes,Yes,24PetWatch,No,NA,9/1/2010,8y 11m 9d,Angela Peterdi,8/10/2019 10:29:02 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Kennel - Holding,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,8y 11m 13d,107,8/14/2019 2:50:00 PM,Emma Griffin,Adoption,Grays Ferry Avenue,Grays Ferry Avenue,Kennel - Holding,NA,,NA,NA,Emma Griffin,8/14/2019 2:50:00 PM,4
A42443780,,Dog,"Chihuahua, Short Coat",Brown/,Male,Yes,No,24PetWatch,No,NA,8/15/2016,2y 11m 26d,Angela Peterdi,8/10/2019 10:29:02 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Kennel - Holding,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3y 2d,36,8/17/2019 12:45:00 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Kennel - Holding,NA,,NA,NA,Steve Ciepiela,8/17/2019 12:45:00 PM,7
A42444398,,Dog,Terrier,White/,Male,Yes,Yes,24PetWatch,No,NA,8/10/2013,6y 0d,Angela Peterdi,8/10/2019 11:44:24 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Kennel - Holding,NA,,Healthy,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,6y 7d,72,8/17/2019 1:36:00 PM,Ame Wiltzius,Adoption,Foster Home,PAC,Foster Care - General,NA,,NA,NA,Ame Wiltzius,8/17/2019 1:36:00 PM,7
A42455482,,Cat,Domestic Shorthair,Brown/Black,Female,Yes,Yes,24PetWatch,No,NA,2/12/2019,6m 0d,Michelle Robinson,8/12/2019 12:35:05 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,6m 16d,6,8/28/2019 12:06:00 PM,Emma Griffin,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Emma Griffin,8/28/2019 12:06:00 PM,16
A42455573,,Cat,Domestic Shorthair,Black/White,Female,Yes,Yes,24PetWatch,No,NA,8/12/2018,1y 0d,Michelle Robinson,8/12/2019 12:41:37 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,FIV +,,,,,1y 26d,12,9/7/2019 12:11:00 PM,Bidisha Mukherjee,Adoption,Petsmart Oregon Avenue,PAWS Offsite Adoptions,Petsmart Broad & Washington,NA,,NA,NA,Bidisha Mukherjee,9/7/2019 12:11:00 PM,26
A42455610,,Cat,Domestic Longhair,Black/Orange,Female,Yes,Yes,24PetWatch,No,NA,8/12/2018,1y 0d,Michelle Robinson,8/12/2019 12:44:10 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19143—Kingsessing SW,Healthy,,,,,1y 1m 24d,13,10/6/2019 5:55:00 PM,Miriam Silberstein,Adoption,PAC,PAC,PAC,NA,,NA,NA,Miriam Silberstein,10/6/2019 5:55:00 PM,55
A42457942,,Cat,Domestic Shorthair,Black/Orange,Female,Yes,No,24PetWatch,No,NA,7/7/2019,1m 5d,Steve Ciepiela,8/12/2019 2:56:12 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 13d,3,10/20/2019 4:41:00 PM,Rich Wilkinson,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Rich Wilkinson,10/20/2019 4:41:00 PM,69
A42458268,,Cat,Domestic Shorthair,Brown/White,Male,Yes,No,24PetWatch,No,NA,3/12/2019,5m 0d,Steve Ciepiela,8/12/2019 3:13:00 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,5m 5d,5,8/17/2019 1:02:00 PM,Bidisha Mukherjee,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Bidisha Mukherjee,8/17/2019 1:02:00 PM,4
A42458381,,Cat,Domestic Shorthair,Brown/,Male,Yes,No,24PetWatch,No,NA,3/12/2019,5m 0d,Steve Ciepiela,8/12/2019 3:18:38 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,5m 5d,5,8/17/2019 1:02:00 PM,Bidisha Mukherjee,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Bidisha Mukherjee,8/17/2019 1:02:00 PM,4
A42458520,,Cat,Domestic Shorthair,Grey/,Male,Yes,No,24PetWatch,No,NA,6/8/2019,2m 4d,Steve Ciepiela,8/12/2019 3:25:19 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 18d,3,9/26/2019 5:43:00 PM,Maria Decker,Adoption,Foster Home,PAWS Foster Program,Grant Avenue,NA,,NA,NA,Maria Decker,9/26/2019 5:43:00 PM,45
A42458643,,Cat,Domestic Shorthair,Black/,Female,Yes,No,24PetWatch,No,NA,6/8/2019,2m 4d,Steve Ciepiela,8/12/2019 3:33:08 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 18d,3,9/26/2019 5:43:00 PM,Maria Decker,Adoption,Foster Home,PAWS Foster Program,Grant Avenue,NA,,NA,NA,Maria Decker,9/26/2019 5:43:00 PM,45
A42458688,,Cat,Domestic Shorthair,Black/,Male,Yes,No,24PetWatch,No,NA,6/8/2019,2m 4d,Steve Ciepiela,8/12/2019 3:36:29 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,4m 2d,4,10/10/2019 3:57:01 PM,Maria Decker,Adoption,Foster Home,PAWS Foster Program,Grant Avenue,NA,,NA,NA,Maria Decker,10/10/2019 3:57:01 PM,59
A42458731,,Cat,Domestic Shorthair,Brown/,Female,Yes,No,24PetWatch,No,NA,6/8/2019,2m 4d,Steve Ciepiela,8/12/2019 3:39:55 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,4m 2d,4,10/10/2019 4:02:00 PM,Maria Decker,Adoption,Foster Home,PAWS Foster Program,Grant Avenue,NA,,NA,NA,Maria Decker,10/10/2019 4:02:00 PM,59
A42458902,,Cat,Domestic Medium Hair,Buff/White,Female,Yes,No,24PetWatch,No,NA,8/8/2012,7y 4d,Steve Ciepiela,8/12/2019 3:50:50 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,7y 4m 11d,88,12/19/2019 5:55:00 PM,Ame Wiltzius,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Ame Wiltzius,12/19/2019 5:55:00 PM,129
A42458982,,Cat,Domestic Shorthair,Grey/Brown,Female,Yes,Yes,24PetWatch,No,NA,8/7/2014,5y 5d,Steve Ciepiela,8/12/2019 3:56:26 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,5y 2m 12d,62,10/19/2019 3:43:00 PM,Ame Wiltzius,Adoption,PAC,PAC,PAC,NA,,NA,NA,Ame Wiltzius,10/19/2019 3:43:00 PM,68
A42459062,,Cat,Domestic Longhair,Brown/Grey,Female,Yes,No,24PetWatch,No,NA,8/12/2018,1y 0d,Steve Ciepiela,8/12/2019 4:00:13 PM,Transfer In,Partner Transfer In,Rescue,Grant Avenue,Grant Avenue,NA,,Sick,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,1y 1m 18d,13,9/30/2019 2:14:00 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Ashley Matters,9/30/2019 2:14:00 PM,48
A42461686,,Cat,Domestic Shorthair,Grey/,Unknown,No,No,Crystal Tag\ResQ\PetLink,No,NA,6/24/2019,1m 19d,Michelle Robinson,8/12/2019 10:22:21 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19139—West Market W,Healthy,,,,,4m 11d,4,11/4/2019 3:28:00 PM,Emma Griffin,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Emma Griffin,11/4/2019 3:28:00 PM,83
A42461694,,Cat,Domestic Shorthair,Grey/,Unknown,No,No,Crystal Tag\ResQ\PetLink,No,NA,6/24/2019,1m 19d,Michelle Robinson,8/12/2019 10:27:50 PM,Stray,Project Meow,,PAWS Foster Program,Foster Care - General,NA,19139—West Market W,Healthy,,,,,4m 11d,4,11/4/2019 3:29:00 PM,Emma Griffin,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Emma Griffin,11/4/2019 3:29:00 PM,83
A42464544,,Cat,Domestic Shorthair,Brown/,Male,Yes,Yes,24PetWatch,No,NA,8/13/2019,0d,Jill Sweeney,8/13/2019 11:49:55 AM,Stray,Project Meow,,Grays Ferry Avenue,Isolation,NA,19146—Schuylkill S,Ringworm,,,,,4m 2d,4,12/15/2019 1:30:00 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Ashley Matters,12/15/2019 1:30:00 PM,124
A42464640,,Cat,Domestic Shorthair,Brown/,Female,Yes,Yes,24PetWatch,No,NA,8/13/2019,0d,Jill Sweeney,8/13/2019 11:56:17 AM,Stray,Project Meow,,Grays Ferry Avenue,Isolation,NA,19146—Schuylkill S,Ringworm,,,,,4m 2d,4,12/15/2019 1:30:00 PM,Ashley Matters,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Ashley Matters,12/15/2019 1:30:00 PM,124
A42466987,,Cat,Domestic Shorthair,Orange/,Male,Yes,No,24PetWatch,No,NA,7/8/2019,1m 5d,Jill Sweeney,8/13/2019 2:09:11 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Maternity,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2m 20d,2,9/28/2019 5:40:00 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,9/28/2019 5:40:00 PM,46
A42467003,,Cat,Domestic Shorthair,Grey/Black,Male,Yes,No,24PetWatch,No,NA,7/8/2019,1m 5d,Jill Sweeney,8/13/2019 2:09:10 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Maternity,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2m 16d,2,9/24/2019 1:29:00 PM,Emma Griffin,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Emma Griffin,9/24/2019 1:29:00 PM,41
A42467010,,Cat,Domestic Shorthair,Black/,Female,Yes,No,24PetWatch,No,NA,7/8/2019,1m 5d,Jill Sweeney,8/13/2019 2:09:10 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Maternity,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,2m 20d,2,9/28/2019 5:44:00 PM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Angela Peterdi,9/28/2019 5:44:00 PM,46
A42467030,,Cat,Domestic Shorthair,Grey/Tan,Female,Yes,No,24PetWatch,No,NA,6/8/2018,1y 2m 5d,Jill Sweeney,8/13/2019 2:09:10 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Maternity,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,1y 5m 0d,17,11/8/2019 2:53:00 PM,Maria Decker,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Maria Decker,11/8/2019 2:53:00 PM,87
A42467043,,Cat,Domestic Shorthair,Orange/,Male,Yes,No,24PetWatch,No,NA,7/30/2019,14d,Jill Sweeney,8/13/2019 2:09:10 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Maternity,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 17d,3,11/16/2019 11:36:00 AM,Maria Decker,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Maria Decker,11/16/2019 11:36:00 AM,94
A42467056,,Cat,Domestic Shorthair,Grey/,Female,Yes,No,24PetWatch,No,NA,7/30/2019,14d,Jill Sweeney,8/13/2019 2:09:10 PM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Maternity,NA,,Less Than 7 Weeks,ACCT Philly,ACCT Representative,(267) 385-3800,111 W Hunting Park Avenue  ,3m 10d,3,11/9/2019 12:33:00 PM,Meredyth Forbes,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Meredyth Forbes,11/9/2019 12:33:00 PM,87
A42474658,,Cat,Domestic Shorthair,Brown/Black,Female,Yes,No,24PetWatch,No,NA,6/5/2019,2m 9d,Jill Sweeney,8/14/2019 11:26:46 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Sick,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,3m 5d,3,9/10/2019 6:07:00 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Grant Avenue,NA,,NA,NA,Steve Ciepiela,9/10/2019 6:07:00 PM,27
A42474661,,Cat,Domestic Shorthair,Black/,Female,Yes,No,24PetWatch,No,NA,6/5/2019,2m 9d,Jill Sweeney,8/14/2019 11:26:45 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Sick,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,3m 5d,3,9/10/2019 6:07:00 PM,Steve Ciepiela,Adoption,Grant Avenue,Grant Avenue,Rittenhouse Pet Supply,NA,,NA,NA,Steve Ciepiela,9/10/2019 6:07:00 PM,27
A42474666,,Cat,Domestic Shorthair,Black/White,Male,Yes,No,24PetWatch,No,NA,4/16/2019,3m 29d,Jill Sweeney,8/14/2019 11:26:45 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,4m 25d,4,9/10/2019 9:10:00 AM,Angela Peterdi,Adoption,Foster Home,PAWS Foster Program,Cat Room,NA,,NA,NA,Angela Peterdi,9/10/2019 9:10:00 AM,26
A42474672,,Cat,Domestic Shorthair,Black/Black,Male,Yes,Yes,24PetWatch,No,NA,4/16/2019,4m 30d,Meredyth Forbes,9/15/2019 12:35:16 PM,Return,Returned Adoption,Unrealistic Expectations,PAC,PAC,NA,,Healthy,,,,,5m 0d,5,9/16/2019 3:29:00 PM,Sara Davidson,Adoption,PAC,PAC,PAC,NA,,NA,NA,Sara Davidson,9/16/2019 3:29:00 PM,1
A42474672,,Cat,Domestic Shorthair,Black/Black,Male,Yes,Yes,24PetWatch,No,NA,4/16/2019,3m 29d,Jill Sweeney,8/14/2019 11:26:45 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,4m 29d,4,9/14/2019 1:00:00 PM,Meredyth Forbes,Adoption,PAC,PAC,PAC,NA,,NA,NA,Meredyth Forbes,9/14/2019 1:00:00 PM,31
A42474681,,Cat,Domestic Shorthair,Grey/White,Female,Yes,No,24PetWatch,No,NA,8/6/2019,8d,Jill Sweeney,8/14/2019 11:26:45 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Healthy,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,3m 13d,3,11/19/2019 6:31:00 PM,Maria Decker,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Maria Decker,11/19/2019 6:31:00 PM,97
A42474684,,Cat,Domestic Shorthair,Grey/White,Female,Yes,No,24PetWatch,No,NA,8/6/2019,8d,Jill Sweeney,8/14/2019 11:26:45 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Less Than 7 Weeks,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,3m 9d,3,11/15/2019 4:34:00 PM,Emma Griffin,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Emma Griffin,11/15/2019 4:34:00 PM,93
A42474693,,Cat,Domestic Shorthair,Black/Black,Unknown,Yes,No,24PetWatch,No,NA,8/6/2019,8d,Jill Sweeney,8/14/2019 11:26:45 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Less Than 7 Weeks,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,3m 28d,3,12/4/2019 12:13:00 PM,Emma Griffin,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Emma Griffin,12/4/2019 12:13:00 PM,112
A42474703,,Cat,Domestic Shorthair,Grey/White,Female,Yes,No,24PetWatch,No,NA,8/6/2019,8d,Jill Sweeney,8/14/2019 11:26:45 AM,Transfer In,Partner Transfer In,Rescue,Grays Ferry Avenue,Isolation,NA,,Less Than 7 Weeks,Homeward Bound (Camden County),Mike Bricker,(856) 401-1300,125 County House Road  ,3m 13d,3,11/19/2019 6:31:00 PM,Maria Decker,Adoption,Foster Home,PAWS Foster Program,Foster Care - General,NA,,NA,NA,Maria Decker,11/19/2019 6:31:00 PM,97
